SID,altSID,name,guidanceLevel
17570,,LAKE HELENE,141
17574,,LAKE GEORGE (POLK),127.5
17621,,LAKE GIBSON NORTHEAST,141.5
17644,,LAKE CUMMINGS,127.5
17646,,LAKE CAMP,132
17647,,LAKE EVA (BY LAKE ALFRED),129
17649,,GRASSY LAKE (POLK),129.5
17650,,LAKE GRIFFIN,129
17651,,GUM LAKE,128.5
17655,,LAKE MEDORA,134.5
17656,,LAKE ARIANA,134.5
17658,,LAKE ARIETTA (USGS),141
17661,,LITTLE VAN LAKE,136.5
17662,,LAKE VAN,130
17663,,LAKE MATTIE,130
17664,,LAKE JULIANA,130
17666,,LAKE TENNESSEE,130
17668,,MUD LAKE,137.75
17670,,CLEARWATER LAKE,141
17671,,LAKE AGNES,132.75
17672,,LITTLE LAKE AGNES,133
17749,,HICKORY HAMMOCK LAKE,30.5
17762,,MEDARD RESERVOIR,57.5
17800,,LAKE GRADY,36
17996,,VALRICO LAKE,42.5
18001,,MUD (WALDEN) LAKE,112.5
18004,,GORNTO LAKE,36
18042,670239,SCOTT LAKE,165
18182,,CARLTON LAKE,90.5
19070,,LAKE HUNTER,160.25
19072,,LAKE BONNET,145
19099,,TAMPA (TURTLE) LAKE,63
19101,,CATFISH LAKE,65.5
19102,,LAKE TONI,65.5
19103,,MYRTLE LAKE,65.5
19104,,LAKE JO ANN,65.5
19105,,UNNAMED LAKE 26 (CYB-C18),65.5
19106,,GOOSENECK LAKE,71
19107,789662,TWIN LAKE (PASCO),65
19110,,SAXON LAKE,69
19111,,COW (EAST) LAKE,76
19112,,LAKE JOYCE (HOG),73.5
19126,,LAKE FLOYD,66
19132,,BIG LAKE VIENNA,67
19137,,LAKE THOMAS AT DREXEL,72.5
19139,,WISTARIA LAKE,71
19169,,BURRELL LAKE,47.5
19178,,LAKE HANNA,59.5
19189,,KEENE LAKE,60.5
19190,,HOG ISLAND LAKE,64
19191,,HART LAKE,64
19196,,LAKE THONOTOSASSA,34.5
19233,,EGYPT LAKE,35
19239,,TWIN LAKE (HILLSBOROUGH),30
19241,,LAKE ECKLES,30
19272,,LONG POND,44
19278,,LAKE WEEKS,41
19295,,BELLOWS (EAST) LAKE,21.5
19301,19300,LAKE KELL,63.5
19635,,LITTLE MOSS (COMO) LAKE,63
19717,,LAKE SEMINOLE,46
19719,22146,LAKE MINNIOLA,48
19720,,BASS (HOLIDAY) LAKE,45.75
19721,,FISHING LAKE,45.75
19722,,LAKE HIAWATHA,48
19726,,LONG LAKE,48
19727,,LAKE GASS,46.25
19737,,AVIS LAKE,34.5
19739,,LAKE ELAINE,34.5
19741,19735,LAKE LIPSEY NR SULPHUR SPRINGS,39
19743,,BOAT LAKE,33.75
19744,,LAKE GEORGE (HILLSBOROUGH),45
19747,19940,BAY LAKE AT STRUCTURE WQ,44
19751,19750,LAKE MAGDALENE,47.5
19755,,HALLS LAKE,47.5
19783,,HIXON LAKE,33.25
19784,,UNNAMED 1B14,35
19787,,UNNAMED 2B14,35
19791,,LAKE LECLARE,49.5
19795,,CHAPMAN LAKE (LUTZ),49.5
19798,,ROCK LAKE (USE JOSEPHINE),42.75
19798,,LAKE JOSEPHINE,42.75
19800,19590,LAKE ARMISTEAD,40.5
19805,,LITTLE LAKE,43.5
19810,,VELBURTON LAKE,37.25
19817,,BROWNS LAKE,60.75
19825,,LAKE GERACI (PEARL),61.5
19830,,COMMISTON LAKE,60.5
19831,,LAKE BROOKER,61
19832,,COOPER LAKE,59.75
19835,,LAKE THOMAS,61.25
19842,,STARVATION LAKE,50
19850,,TURKEY FORD LAKE,51.5
19854,,BUCK LAKE (HILLSBOROUGH),32
19876,19889,KEYSTONE LAKE NORTH,39.75
19878,,JAMES LAKE,43.5
19881,,LAKE ELIZABETH (HILLSBOROUGH),51
19884,,LAKE FERN,43
19888,19890,ISLAND FORD LAKE,39
19893,841333,LAKE ARTILLERY,40.5
19894,852135,OSCEOLA LAKE,44.5
20506,,CREWS LAKE,52
20792,,RICHEY LAKE,10
20808,20809,LAKE WORRELL,16.25
20809,,GARDEN LAKE,16.25
20864,,NICKS LAKE,110.5
20874,,SPARKMAN LAKE,89
22112,22084,LAKE TARPON AT FISH CAMP,2.2
22146,,LAKE GENEVA (MUD),48
23452,827853,HOLDEN LAKE,29.5
23467,,COOTER LAKE,38.25
23487,,CATO LAKE,35.5
23488,,TWIN LAKE,35
23499,,HOG POND (NINA) LAKE,32
23587,,CONNELL LAKE,32
23624,,BRADLEY LAKE,40.25
23628,,LITTLE LAKE (CONSUELLA),39
23630,,MAGNOLIA LAKE,28.5
23651,,RUSH LAKE,33.25
23681,,LAKE BRENTWOOD,99.5
23683,,LAKE CHILTON,111
23685,,LAKE ADELAIDE SOUTH,104
23688,,LAKE HENRY,73
23692,,LAKE SIMMONS,68
23694,,LAKE FRANCIS (HIGHLANDS),67.5
23696,,LAKE CARRIE,73
23700,,LAKE HILL ON POPINJAY,96
23712,,RED WATER LAKE,67.5
23714,,LITTLE RED WATER LAKE I,67.5
23715,,LAKE NELLIE SE,67
23720,,PERSIMMON LAKE,65
23729,,LAKE HARRY,63
23741,,LAKE JOSEPHINE,69
23756,,LAKE CHARLOTTE,91.25
23757,,LAKE RUTH,91.5
23766,,LAKE STREETY,102.5
23770,,TROUT LAKE (HIGHLANDS),98
23775,,LAKE DAMON,98
23777,,LAKE OLIVIA,114.5
23791,,DINNER LAKE (HIGHLANDS),98.5
23799,,BONNET LAKE,88
23810,,LAKE SEBRING,104.5
23812,,LITTLE RED WATER LAKE,100.5
23837,,LAKE IDA (FROSTPROOF),76.5
23850,,LAKE LEONORE (PATRICK),84.5
23871,,SADDLEBAG LAKE,102
23879,,LAKE EASY,113
23882,,SAINT ANNE LAKE,93
23884,,LITTLE LAKE AURORA,98
23885,,LAKE AURORA,97
23886,,SUNSET I LAKE,95.5
23888,,THOMAS LAKE II,97
23894,,BLUE LAKE SOUTH,114
23895,,LAKE AMORET,113
23897,,LAKE JOSEPHINE I,116.5
23901,,TRACTOR LAKE,121
23902,,LAKE SERENA,115
23904,,LAKE WARREN,121
23905,,LAKE ALTAMAHA,120
23906,,LAKE PARKER NR LAKE WALES,119.5
24724,,LAKE WHISTLER,135
24725,,LAKE MYRTLE I,138.5
24736,,REEVES LAKE,122
24741,,LAKE GROSS,133.5
24743,,LAKE HART,122
24744,,ROUND LAKE (POLK),126.5
24745,,RIVER LAKE,136
24746,,LAKE WINTERSET,129.5
24751,,LAKE SHIPP,129.5
24756,,LAKE ELOISE,129.5
24774,,MILLSITE LAKE,121
24783,,GRASSY LAKE I,126.5
24786,,BANANA LAKE AT BOAT RAMP,103.5
24789,,LAKE TRASK,108
24794,,LAKE HENRY NR FORT MEADE,156
24795,,LAKE BUFFUM,129.25
24810,,SURVEYORS LAKE,130.75
24812,,POLECAT LAKE,139.5
24814,,GATOR LAKE,130.75
24816,,LAKE WALKER,137
24818,,LAKE GARFIELD,101
24844,,MIDDLE LAKE HAMILTON (USED LAKE HAMILTON),119
24844,,LITTLE LAKE HAMILTON (USED LAKE HAMILTON),119
24844,,LAKE HAMILTON NORTH,119
24846,,LAKE HOWARD,129.5
24847,,LAKE MAY,129.5
24849,,SPRING LAKE,129.5
24850,,LAKE MIRROR I,129.5
24852,,LAKE CANNON,129.5
24853,,LAKE IDYLWILD,129.5
24854,,LAKE IDA (WINTER HAVEN),132
24855,,LAKE HARTRIDGE,129.5
24857,,LAKE PANSY,126.5
24858,,SEARS LAKE,138
24859,,SPIRIT LAKE,129
24860,,THOMAS LAKE I,128
24863,,LAKE DEER,138.5
24882,,BLUE LAKE NR AUBURNDALE,146.5
24889,,LAKE JESSIE,129.5
24894,24893,LAKE LENA,134.5
24902,,CRYSTAL LAKE (LAKELAND),127
24903,,LAKE BONNY,128
25228,,LAKE HAINES,126.5
25229,,LAKE ALFRED,128.25
25230,,LAKE SWOOPE,130
25232,,CYPRESS LAKE,95
25233,,PARKS LAKE,100
25237,,BIG GUM LAKE,92
25238,,LITTLE GUM LAKE,94
25264,,LAKE MYRTLE (ASHTON) NORTH,116.5
25300,,LAKE LEE,116
25303,,LAKE RUBY,123
25304,,LAKE BESS,123
25306,,LAKE FOX,132
25312,,LAKE DEXTER,129
25315,,LAKE JOSEPHINE,118
25316,,LAKE ADA,120
25319,,LAKE RUTH I,117.5
25320,,LAKE MENZIE,120
25321,,LAKE DELL,121.5
25323,,LAKE MARIE,118
25329,,CRYSTAL LAKE II,119
25335,,LAKE GORDON,116
25336,,LAKE SARA,119
25338,,REEDY LAKE,77.25
25345,,LAKE EFFIE,115
25346,,LAKE COOPER (WORTH),121
25348,,LAKE WEADER,119
25349,,TWIN LAKE (WEST),120
25362,,LAKE DAISY,127
25363,,NED LAKE,126
25364,,LAKE FLORENCE,127
25366,,LAKE SUMMIT,129.5
25368,,LAKE ROY,129.5
25369,,LAKE LULU,129.5
25371,,LAKE OTIS,125
25372,,LAKE MARIAM,122.75
25373,,LAKE LINK,125
25375,,LAKE MAUDE,137.5
25376,,LAKE MARTHA,139
25377,,LAKE ELBERT,133
25379,,LAKE IDYL,131.5
25381,,LAKE SMART,126.5
25382,,LAKE BUCKEYE,126
25384,25168,LAKE FANNIE,123.5
25389,,LAKE CONINE,126.5
25390,,LAKE ECHO,128
25391,,LAKE ROCHELLE,126.5
25400,,HICKORY LAKE,96
25403,,SILVER LAKE,100.5
25405,,BUCK LAKE (HIGHLANDS),91.5
25406,,GRASSY LAKE (HIGHLANDS),88.5
25406,,UNNAMED B GRASSY,88.5
25415,,MIRROR LAKE,90
25417,,LAKE MCCOY,84
25420,,LAKE SIRENA,84
25422,,SADDLEBAGS LAKE,81
25444,,LOST LAKE,84
25452,,LAKE CLAY,76
25453,,BLUE LAKE,75
25460,,LAKE APTHORPE,68
25464,,LAKE LACHARD,76
25466,,LAKE CREWS,117
25472,,RED BEACH LAKE,73.75
25483,,WOLF LAKE,90
25484,,HUCKLEBERRY LAKE,102
25511,,LITTLE BONNET LAKE,97
25512,,LAKE GLENADA,117
25518,,LAKE LELIA,112.5
25534,,LAKE VIOLA,105.75
25535,,PIONEER LAKE,104.5
25538,,LAKE PYTHIAS,98
25540,,LAKE BYRD,105.5
670230,19240,WHITE TROUT LAKE,34
670276,,LAKE BELLE 2,117
720334,17573,LAKE SANITARY (MARIANA),135
721835,,LAKE PEARL SW,84
722832,,MOODY LAKE EAST 1,107.5
741468,18292,ST CLAIR LAKE WQ,110.5
754183,25451,LAKE HUNTLEY,81
759479,23849,LAKE MOODY,91
759480,24851,LAKE SILVER,144
763459,,LAKE FRANCES (HILLSBOROUGH),38
783344,23549,LAKE FRANCIS (HERNANDO) LWG,57
783344,23549,LAKE ELIZABETH (USED FRANCIS),57
783344,23549,LAKE GENEVA (USED FRANCIS),57
783574,19636,MOSS LAKE,61.5
